rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
563,f,TRUE,180,180,or,repetition,congruent,1,4
683,j,FALSE,180,0,mov,switch,incongruent,1,4
628,j,TRUE,0,0,or,switch,congruent,1,4
575,f,FALSE,0,180,mov,switch,incongruent,1,4
985,j,TRUE,0,0,or,switch,congruent,1,4
574,j,TRUE,0,0,or,repetition,congruent,1,4
610,f,TRUE,180,180,mov,switch,congruent,1,4
605,j,TRUE,0,0,or,switch,congruent,1,4
792,f,TRUE,0,180,or,repetition,incongruent,1,4
614,j,TRUE,0,0,mov,switch,congruent,1,4
703,f,FALSE,0,180,mov,repetition,incongruent,1,4
638,j,TRUE,0,180,mov,repetition,incongruent,1,4
648,j,FALSE,180,0,mov,repetition,incongruent,1,4
630,f,TRUE,180,180,or,switch,congruent,1,4
682,f,TRUE,180,180,mov,switch,congruent,1,4
674,j,FALSE,180,0,mov,repetition,incongruent,1,4
707,j,TRUE,0,0,mov,repetition,congruent,1,4
974,f,FALSE,0,0,mov,repetition,congruent,1,4
978,j,FALSE,180,180,or,null,congruent,1,5
583,j,TRUE,0,0,or,repetition,congruent,1,5
638,f,FALSE,180,0,or,repetition,incongruent,1,5
593,j,TRUE,0,0,or,repetition,congruent,1,5
835,f,TRUE,180,180,mov,switch,congruent,1,5
830,j,TRUE,180,0,or,switch,incongruent,1,5
628,f,TRUE,180,180,mov,switch,congruent,1,5
522,j,TRUE,0,0,or,switch,congruent,1,5
662,f,FALSE,0,180,mov,switch,incongruent,1,5
648,f,TRUE,180,0,mov,repetition,incongruent,1,5
596,f,TRUE,180,0,mov,repetition,incongruent,1,5
762,j,TRUE,0,0,mov,repetition,congruent,1,5
794,j,TRUE,0,0,mov,repetition,congruent,1,5
874,j,FALSE,180,0,mov,repetition,incongruent,1,5
1074,f,TRUE,180,0,mov,repetition,incongruent,1,5
839,f,FALSE,180,0,or,switch,incongruent,1,5
880,f,TRUE,180,0,mov,switch,incongruent,1,5
503,f,TRUE,0,180,or,switch,incongruent,1,5
493,f,TRUE,180,180,mov,switch,congruent,1,5
479,j,FALSE,0,180,or,switch,incongruent,1,5
608,f,TRUE,180,180,or,repetition,congruent,1,5
637,f,TRUE,180,180,or,repetition,congruent,1,5
783,j,FALSE,180,0,mov,switch,incongruent,1,5
670,f,TRUE,180,180,mov,repetition,congruent,1,5
697,j,FALSE,180,180,or,switch,congruent,1,5
828,f,TRUE,180,180,mov,switch,congruent,1,5
693,j,TRUE,0,180,mov,repetition,incongruent,1,5
605,j,TRUE,0,0,or,switch,congruent,1,5
674,f,TRUE,0,180,or,repetition,incongruent,1,5
730,f,TRUE,0,180,or,repetition,incongruent,1,5
